Date : 2025-11-19 09:40:42
Directory : c:\Users\Humam\OneDrive\Documents\Classified-db-v2
Total : 363 files,  25776 codes, 2091 comments, 2969 blanks, all 30836 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\EngineOilAdDtoValidator.cs                                      | C#         |         50 |          0 |         10 |         60 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\FurnitureAdDtoValidator.cs                                      | C#         |         51 |          0 |         10 |         61 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\PlantAdDtoValidator.cs                                          | C#         |         39 |          0 |          8 |         47 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\ShoeAdDtoValidator.cs                                           | C#         |         39 |          0 |          8 |         47 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\TireWheelAdDtoValidator.cs                                      | C#         |         39 |          0 |          8 |         47 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\VideoGameAdDtoValidator.cs                                      | C#         |         38 |          1 |          9 |         48 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\ApartmentAdDtoValidator.cs                                         | C#         |         61 |          1 |         12 |         74 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\ConstructionProjectAdDtoValidator.cs                               | C#         |         35 |          1 |          7 |         43 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\HouseAdDtoValidator.cs                                             | C#         |         61 |          1 |         12 |         74 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\RealEstateAdDtoValidator.cs                                        | C#         |         26 |          0 |          6 |         32 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\BoatAdDtoValidator.cs                                                | C#         |         34 |          0 |          7 |         41 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\CarAdDtoValidator.cs                                                 | C#         |         76 |          1 |         15 |         92 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\BulldozerAdDtoValidator.cs                            | C#         |         42 |          0 |          8 |         50 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\BusAdDtoValidator.cs                                  | C#         |         32 |          0 |          6 |         38 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\CraneAdDtoValidator.cs                                | C#         |         47 |          0 |          9 |         56 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\ExcavatorAdDtoValidator.cs                            | C#         |         37 |          0 |          7 |         44 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\HeavyEquipmentAdDtoValidator.cs                       | C#         |         35 |          0 |          7 |         42 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\MotorcycleAdDtoValidator.cs                                          | C#         |         45 |          1 |          9 |         55 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\TransportAdDtoValidator.cs                                           | C#         |         43 |          1 |          9 |         53 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\TruckAdDtoValidator.cs                                               | C#         |         44 |          0 |          9 |         53 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Common\EnumValidatorExtensions.cs                                                 | C#         |         26 |          3 |          5 |         34 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Common\LocationAdDtoValidator.cs                                                  | C#         |         57 |          5 |         10 |         72 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\README_MULTILINGUAL_VALIDATION.md                                                 | Markdown   |        154 |          0 |         37 |        191 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Users\CreateUserDtoValidator.cs                                                   | C#         |         41 |          0 |         12 |         53 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\bin\Debug\net9.0\ClassifiedAds.Application.deps.json                                         | JSON       |        522 |          0 |          0 |        522 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\ClassifiedAds.Application.csproj.nuget.dgspec.json                                       | JSON       |        171 |          0 |          0 |        171 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\ClassifiedAds.Application.csproj.nuget.g.props                                           | XML        |         23 |          0 |          0 |         23 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\ClassifiedAds.Application.csproj.nuget.g.targets                                         | XML        |          7 |          0 |          0 |          7 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs                              | C#         |          3 |          1 |          1 |          5 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.AssemblyInfo.cs                                   | C#         |          9 |          9 |          5 |         23 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.GeneratedMSBuildEditorConfig.editorconfig         | Properties |         15 |          0 |          1 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.GlobalUsings.g.cs                                 | C#         |          7 |          1 |          1 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.sourcelink.json                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs                            | C#         |          3 |          1 |          1 |          5 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\ClassifiedAds.Application.AssemblyInfo.cs                                 | C#         |          9 |         10 |          5 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\ClassifiedAds.Application.GeneratedMSBuildEditorConfig.editorconfig       | Properties |         15 |          0 |          1 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\ClassifiedAds.Application.GlobalUsings.g.cs                               | C#         |          7 |          1 |          1 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\project.assets.json                                                                      | JSON       |      1,463 |          0 |          0 |      1,463 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\ClassifiedAds.Domain.csproj                                                                       | XML        |         11 |          0 |          4 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Attributes\GetUnitsAttribute.cs                                                            | C#         |          7 |          0 |          3 |         10 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Attributes\QueryKeyAttribute.cs                                                            | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Attributes\QueryValueAttribute.cs                                                          | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Enums\Status.cs                                                                            | C#         |          8 |          0 |          3 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Enums\Units.cs                                                                             | C#         |         28 |          0 |         14 |         42 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Enums\YesNo.cs                                                                             | C#         |          9 |          0 |          4 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\AdImage.cs                                                                    | C#         |         11 |          0 |          3 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\Category.cs                                                                   | C#         |          6 |          0 |          2 |          8 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\LocationAd.cs                                                                 | C#         |          8 |         20 |          5 |         33 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\Price.cs                                                                      | C#         |          7 |          4 |          5 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Ad.cs                                                                                | C#         |         59 |          0 |          3 |         62 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Computer.cs                                                              | C#         |         15 |          0 |          3 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Electronic.cs                                                            | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\Color.cs                                                           | C#         |         26 |          0 |         12 |         38 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\RamSize.cs                                                         | C#         |         12 |          0 |          7 |         19 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\RefreshRate.cs                                                     | C#         |         20 |          0 |         14 |         34 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\Region.cs                                                          | C#         |         16 |          0 |          7 |         23 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\ScreenResolution.cs                                                | C#         |         16 |          0 |          6 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\StorageCapacity.cs                                                 | C#         |         15 |          0 |         10 |         25 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Enums\WebcamResolution.cs                                                | C#         |         20 |          0 |          9 |         29 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\HandheldDevice.cs                                                        | C#         |         22 |          0 |          3 |         25 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Laptop.cs                                                                | C#         |         24 |          0 |          3 |         27 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\TvMonitor.cs                                                             | C#         |         15 |          0 |          3 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\VideoConsole.cs                                                          | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Cv.cs                                                                   | C#         |         18 |          0 |          3 |         21 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\DayWeek.cs                                                        | C#         |         24 |          0 |         11 |         35 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\EducationDegree.cs                                                | C#         |         18 |          0 |          8 |         26 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\EducationLevel.cs                                                 | C#         |         18 |          0 |          8 |         26 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\FieldOfStudy.cs                                                   | C#         |         18 |          0 |          8 |         26 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\Gender.cs                                                         | C#         |         10 |          0 |          4 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\JobSearchStatus.cs                                                | C#         |         12 |          0 |          5 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\JobType.cs                                                        | C#         |         16 |          0 |          7 |         23 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\LanguageProficiency.cs                                            | C#         |         16 |          0 |          7 |         23 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\PaymentPeriod.cs                                                  | C#         |         24 |          0 |         11 |         35 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Enums\WorkingHours.cs                                                   | C#         |         14 |          0 |          6 |         20 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Service.cs                                                              | C#         |         10 |          0 |          4 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\Vacancy.cs                                                              | C#         |         13 |          0 |          3 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\ValueObjects\DailyAvailability.cs                                       | C#         |         12 |          0 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\ValueObjects\Education.cs                                               | C#         |         12 |          0 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\ValueObjects\Experience.cs                                              | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\ValueObjects\Language.cs                                                | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\JobsServices\ValueObjects\TimeSlot.cs                                                | C#         |          8 |          0 |          3 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Book.cs                                                                | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Cloth.cs                                                               | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\EngineOil.cs                                                           | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\BookLanguage.cs                                                  | C#         |         18 |          0 |          8 |         26 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\ClothCondition.cs                                                | C#         |         10 |          0 |          4 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\ClothingSize.cs                                                  | C#         |         13 |          0 |          9 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\FurnitureMaterial.cs                                             | C#         |         20 |          0 |          9 |         29 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\OilType.cs                                                       | C#         |         26 |          0 |         12 |         38 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\PlantType.cs                                                     | C#         |         10 |          0 |          4 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\Season.cs                                                        | C#         |         10 |          0 |          4 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Enums\Viscosity.cs                                                     | C#         |         46 |          0 |         21 |         67 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Furniture.cs                                                           | C#         |         11 |          0 |          3 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Plant.cs                                                               | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\Shoe.cs                                                                | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\TireWheel.cs                                                           | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Miscellaneous\VideoGame.cs                                                           | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate\Apartment.cs                                                              | C#         |         12 |          0 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate\ConstructionProject.cs                                                    | C#         |          8 |          0 |          3 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate\Enums\CompletionStatus.cs                                                 | C#         |         12 |          0 |          5 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate\House.cs                                                                  | C#         |         12 |          0 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\RealEstate\RealEstate.cs                                                             | C#         |          7 |          0 |          4 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Boat.cs                                                                     | C#         |          8 |          0 |          3 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Car.cs                                                                      | C#         |         15 |          0 |          3 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Enums\CarDriveType.cs                                                       | C#         |         12 |          0 |          5 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Enums\FuelType.cs                                                           | C#         |         18 |          0 |          8 |         26 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Enums\MotorcycleDriveType.cs                                                | C#         |         14 |          0 |          6 |         20 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Enums\Transmission.cs                                                       | C#         |         12 |          0 |          5 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\HeavyEquipment\Bulldozer.cs                                                 | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\HeavyEquipment\Bus.cs                                                       | C#         |          7 |          0 |          3 |         10 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\HeavyEquipment\Crane.cs                                                     | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\HeavyEquipment\Excavator.cs                                                 | C#         |          8 |          0 |          3 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\HeavyEquipment\HeavyEquipment.cs                                            | C#         |          8 |          0 |          3 |         11 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Motorcycle.cs                                                               | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Transport.cs                                                                | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Vehicles\Truck.cs                                                                    | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\Conversation.cs                                                                     | C#         |         18 |          0 |          3 |         21 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\Enums\ContentType.cs                                                                | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\Enums\ConversationStatus.cs                                                         | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\Message.cs                                                                          | C#         |         14 |          0 |          3 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\ValueObjects\LastMessage.cs                                                         | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\ValueObjects\ParticipantInfo.cs                                                     | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Chat\ValueObjects\RelatedAd.cs                                                           | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\BrandModel.cs                                                                 | C#         |         21 |          0 |          3 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\BugReport.cs                                                                  | C#         |         12 |          0 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Category.cs                                                                   | C#         |         17 |          0 |          3 |         20 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Enums\BugReportStatus.cs                                                      | C#         |          8 |          0 |          2 |         10 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Enums\LocationSource.cs                                                       | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Enums\UserReportReasonType.cs                                                 | C#         |         10 |          0 |          2 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Enums\UserReportStatus.cs                                                     | C#         |          7 |          0 |          2 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\Location.cs                                                                   | C#         |         13 |          0 |          3 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\ModelRelease.cs                                                               | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\User.cs                                                                       | C#         |         28 |          0 |          4 |         32 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\UserReport.cs                                                                 | C#         |         14 |          0 |          4 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\PostgreSQL\UserReview.cs                                                                 | C#         |         12 |          0 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\bin\Debug\net9.0\ClassifiedAds.Domain.deps.json                                                   | JSON       |        251 |          0 |          0 |        251 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\obj\ClassifiedAds.Domain.csproj.nuget.dgspec.json                                                 | JSON       |         84 |          0 |          0 |         84 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\obj\ClassifiedAds.Domain.csproj.nuget.g.props                                                     | XML        |         19 |          0 |          0 |         19 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\obj\ClassifiedAds.Domain.csproj.nuget.g.targets                                                   | XML        |          7 |          0 |          0 |          7 |
